id,firstname,lastname,fullname,image_path,dateofbirth,gender,battingstyle,bowlingstyle,position,updated_at,continent_id,continent_name,country_id,country_name,country_image_path
2,Ahmed,Shehzad,Ahmed Shehzad,https://cdn.sportmonks.com/images/cricket/players/2/2.png,23-11-1991,m,right-hand-bat,legbreak,Batsman,2020-03-31T05:00:31.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
3,Anwar,Ali,Anwar Ali,https://cdn.sportmonks.com/images/cricket/players/3/3.png,25-11-1987,m,right-hand-bat,right-arm-fast-medium,Bowler,2020-12-14T18:58:56.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
4,Sarfraz,Ahmed,Sarfraz Ahmed,https://cdn.sportmonks.com/images/cricket/players/4/4.png,22-05-1987,m,right-hand-bat,right-arm-offbreak,Wicketkeeper,2020-04-07T08:51:02.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
5,Azhar,Ali,Azhar Ali,https://cdn.sportmonks.com/images/cricket/players/5/5.png,19-02-1985,m,right-hand-bat,legbreak,Batsman,2020-04-01T02:28:23.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
6,Fakhar,Zaman,Fakhar Zaman,https://cdn.sportmonks.com/images/cricket/players/6/6.png,10-04-1990,m,left-hand-bat,slow-left-arm-orthodox,Batsman,2020-04-02T02:22:22.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
7,Imam,ul Haq,Imam ul Haq,https://cdn.sportmonks.com/images/cricket/players/7/7.png,12-12-1995,m,left-hand-bat,,Batsman,2020-04-02T09:00:48.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
8,Babar,Azam,Babar Azam,https://cdn.sportmonks.com/images/cricket/players/8/8.png,15-10-1994,m,right-hand-bat,right-arm-offbreak,Batsman,2020-02-23T10:47:44.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
9,Asad,Shafiq,Asad Shafiq,https://cdn.sportmonks.com/images/cricket/players/9/9.png,28-01-1986,m,right-hand-bat,right-arm-offbreak,Batsman,2020-03-31T15:33:50.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
10,Haris,Sohail,Haris Sohail,https://cdn.sportmonks.com/images/cricket/players/10/10.png,09-01-1989,m,left-hand-bat,slow-left-arm-orthodox,Allrounder,2020-04-02T07:30:27.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
11,Usman,Salahuddin,Usman Salahuddin,https://cdn.sportmonks.com/images/cricket/players/11/11.png,02-12-1990,m,right-hand-bat,,Batsman,2020-04-08T09:10:55.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
12,Yasir,Shah,Yasir Shah,https://cdn.sportmonks.com/images/cricket/players/12/12.png,02-05-1986,m,right-hand-bat,legbreak-googly,Bowler,2020-04-09T05:17:13.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
13,Shadab,Khan,Shadab Khan,https://cdn.sportmonks.com/images/cricket/players/13/13.png,04-10-1998,m,right-hand-bat,legbreak,Allrounder,2020-04-07T09:05:03.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
14,Bilal,Asif,Bilal Asif,https://cdn.sportmonks.com/images/cricket/players/14/14.png,24-09-1985,m,right-hand-bat,right-arm-offbreak,Allrounder,2020-04-01T03:31:48.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
15,Mohammad,Abbas,Mohammad Abbas,https://cdn.sportmonks.com/images/cricket/players/15/15.png,10-03-1990,m,right-hand-bat,right-arm-fast-medium,Bowler,2020-04-05T06:16:39.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
16,Hasan,Ali,Hasan Ali,https://cdn.sportmonks.com/images/cricket/players/16/16.png,02-07-1994,m,right-hand-bat,right-arm-fast-medium,Bowler,2020-04-02T08:29:31.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
17,Wahab,Riaz,Wahab Riaz,https://cdn.sportmonks.com/images/cricket/players/17/17.png,28-06-1985,m,right-hand-bat,left-arm-fast,Bowler,2020-04-09T04:55:16.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
18,Faheem,Ashraf,Faheem Ashraf,https://cdn.sportmonks.com/images/cricket/players/18/18.png,16-01-1994,m,left-hand-bat,right-arm-fast-medium,Bowling Allrounder,2023-03-15T15:09:49.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
19,Mir,Hamza,Mir Hamza,https://cdn.sportmonks.com/images/cricket/players/19/19.png,10-09-1992,m,left-hand-bat,left-arm-fast-medium,Bowler,2020-04-05T05:54:08.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
20,Mohammad,Rizwan,Mohammad Rizwan,https://cdn.sportmonks.com/images/cricket/players/20/20.png,01-01-1992,m,right-hand-bat,,Wicketkeeper,2020-02-23T10:41:51.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
21,Mohammad,Hafeez,Mohammad Hafeez,https://cdn.sportmonks.com/images/cricket/players/21/21.png,17-10-1980,m,right-hand-bat,right-arm-offbreak,Allrounder,2020-04-05T07:14:20.000000Z,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
22,Tim,Paine,Tim Paine,https://cdn.sportmonks.com/images/cricket/players/22/22.png,08-12-1984,m,right-hand-bat,right-arm-fast-medium,Wicketkeeper,2020-02-06T04:45:12.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
23,Ashton,Agar,Ashton Agar,https://cdn.sportmonks.com/images/cricket/players/23/23.png,14-10-1993,m,left-hand-bat,slow-left-arm-orthodox,Bowler,2023-03-15T07:40:57.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
24,Brendan,Doggett,Brendan Doggett,https://cdn.sportmonks.com/images/cricket/players/24/24.png,03-05-1994,m,right-hand-bat,right-arm-fast-medium,Bowler,2020-12-14T18:49:35.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
25,Aaron,Finch,Aaron Finch,https://cdn.sportmonks.com/images/cricket/players/25/25.png,17-11-1986,m,right-hand-bat,slow-left-arm-orthodox,Batsman,2023-03-23T07:59:56.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
26,Travis,Head,Travis Head,https://cdn.sportmonks.com/images/cricket/players/26/26.png,29-12-1993,m,left-hand-bat,right-arm-offbreak,Middle Order Batter,2023-03-16T05:00:16.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
27,Jon,Holland,Jon Holland,https://cdn.sportmonks.com/images/cricket/players/27/27.png,29-05-1987,m,right-hand-bat,slow-left-arm-orthodox,Bowler,2020-02-06T04:46:39.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
28,Usman,Khawaja,Usman Khawaja,https://cdn.sportmonks.com/images/cricket/players/28/28.png,18-12-1986,m,left-hand-bat,right-arm-fast-medium,Batsman,2020-02-06T04:46:55.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
29,Marnus,Labuschagne,Marnus Labuschagne,https://cdn.sportmonks.com/images/cricket/players/29/29.png,22-06-1994,m,right-hand-bat,legbreak-googly,Batsman,2020-12-14T18:51:00.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
30,Nathan,Lyon,Nathan Lyon,https://cdn.sportmonks.com/images/cricket/players/30/30.png,20-11-1987,m,right-hand-bat,right-arm-offbreak,Bowler,2020-02-06T04:47:33.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
31,Mitchell,Marsh,Mitchell Marsh,https://cdn.sportmonks.com/images/cricket/players/31/31.png,20-10-1991,m,right-hand-bat,right-arm-fast-medium,Allrounder,2020-02-06T04:44:42.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
32,Shaun,Marsh,Shaun Marsh,https://cdn.sportmonks.com/images/cricket/players/0/32.png,09-07-1983,m,left-hand-bat,slow-left-arm-orthodox,Top Order Batter,2023-03-16T07:33:23.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
33,Michael,Neser,Michael Neser,https://cdn.sportmonks.com/images/cricket/players/1/33.png,29-03-1990,m,right-hand-bat,right-arm-fast-medium,Allrounder,2021-12-17T10:26:40.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
34,Matt,Renshaw,Matt Renshaw,https://cdn.sportmonks.com/images/cricket/players/2/34.png,28-03-1996,m,left-hand-bat,right-arm-offbreak,Batsman,2020-02-06T04:49:24.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
35,Peter,Siddle,Peter Siddle,https://cdn.sportmonks.com/images/cricket/players/3/35.png,25-11-1984,m,right-hand-bat,right-arm-fast-medium,Bowler,2020-02-06T04:49:42.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
36,Mitchell,Starc,Mitchell Starc,https://cdn.sportmonks.com/images/cricket/players/4/36.png,30-01-1990,m,left-hand-bat,left-arm-fast,Bowler,2020-02-06T04:50:01.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
37,Alex,Carey,Alex Carey,https://cdn.sportmonks.com/images/cricket/players/5/37.png,27-08-1991,m,left-hand-bat,,Wicketkeeper,2020-02-06T04:52:45.000000Z,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
